chr	start	end	size	chrregionprob
chr7	143700805	144180799	479995	0.00310372274859394
chr7	144377301	145996399	1619099	0.0104693473859638
chr7	146018601	152375799	6357199	0.0411066430976127
chr7	152435101	154575458	2140358	0.0138398896128814
chr7	154575460	154578613	3154	2.03942573340666e-05
chr7	154578616	154578678	63	4.07367854168102e-07
chr7	154578680	158131399	3552720	0.0229724432200016
chr7	158156201	158594299	438099	0.00283281665941573
chr7	158596201	158893099	296899	0.00191979537356596
chr7	158918101	159334899	416799	0.00269508752776842
chr8	60001	7209799	7149799	0.0506105169642976
chr8	7914701	7940499	25799	0.000182620620126791
chr8	8075701	8128199	52499	0.000371619052522827
chr8	8204601	12136899	3932299	0.0278351440716292
chr8	12614301	43236699	30622399	0.216763498397226
chr8	43262601	43937899	675299	0.00478016675650227
chr8	45969601	46829399	859799	0.0060861671601378
chr8	46832001	57204899	10372899	0.0734255299776183
chr8	57216101	59168699	1952599	0.0138216535617254
chr8	59170401	67584499	8414099	0.0595599820608634
chr8	67592701	69688399	2095699	0.0148346002162524
chr8	69691101	71406699	1715599	0.012144027026974
chr8	71412401	75444099	4031699	0.0285387562132084
chr8	75448201	81841499	6393299	0.0452555613797432
chr8	81851901	85642099	3790199	0.0268292760100758
chr8	85829301	88685899	2856599	0.0202207016098908
chr8	88691701	96171199	7479499	0.0529443290677048
chr8	96173101	99494899	3321799	0.0235136630612254
chr8	99496801	105789199	6292399	0.0445413313487035
chr8	105793801	141491399	35697599	0.252688773457015
chr8	141493501	141871099	377599	0.00267286962825134
chr8	141875201	143641399	1766199	0.0125022038314399
chr8	143670501	144124799	454299	0.00321579770932909
chr8	144137601	145078636	941036	0.00666121081753693
chr9	10001	319899	309899	0.00278088226381309
chr9	322401	33656599	33334199	0.299124820594826
chr9	33660001	35912599	2252599	0.020213723202021
chr9	35915301	38824199	2908899	0.0261030388491852
chr9	39089401	39846199	756799	0.0067911445870154
chr9	40771101	40792499	21399	0.000192024174209457
chr9	41323101	41492299	169199	0.00151830918510518
chr9	41635601	41661299	25699	0.000230610273985178
chr9	42119601	42363999	244399	0.00219311725560152
chr9	42410601	42899399	488799	0.00438624348471462
chr9	42901301	43222167	320867	0.00287930373877591
chr9	43236168	43240559	4392	3.94116628406904e-05
chr9	43240580	43254332	13753	0.000123412704701278
chr9	43254353	43263099	8747	7.8491305753078e-05
chr9	61518901	61735299	216399	0.00194185893148054
chr9	63548001	63761399	213399	0.0019149383967533
chr9	64027301	64134999	107699	0.00096643822319661
chr9	65390601	65579399	188799	0.00169419001198987
chr9	66874601	66958999	84399	0.000757355403481654
chr9	68398101	70037199	1639099	0.0147084738502989
chr9	70039601	76174299	6134699	0.0550497924902369
chr9	76176201	83222899	7046699	0.0632336350473201
chr9	83226901	85071599	1844699	0.0165534278302729
chr9	85075101	85164799	89699	0.000804915014833125
chr9	85166101	89883951	4717851	0.0423356905611598
chr9	89883953	89884095	143	1.28321215533213e-06
chr9	89884097	89884246	150	1.34602673636238e-06
chr9	89884248	108501999	18617752	0.167066613086427
chr9	108506601	134164499	25657899	0.230241453685903
chr9	134185537	137326799	3141263	0.0281881598929726
chr9	137330601	137715199	384599	0.00345120357852156
chr9	137722201	137841199	118999	0.00106783890400258
chr9	137846801	138221999	375199	0.00336685256970951
chr10	45701	38481299	38435599	0.293425174528765
chr10	38596501	38782599	186099	0.00142071758930123
chr10	38967901	39229918	262018	0.00200029866529927
chr10	39230137	39238955	8819	6.7326038399172e-05
chr10	39239119	39239442	324	2.47348185070096e-06
chr10	39239444	39240084	641	4.89352427870158e-06
chr10	39240086	39240481	396	3.02314448419006e-06
chr10	39240483	39242507	2025	1.5459261566881e-05
chr10	39242509	39244443	1935	1.47721832750196e-05
chr10	39244445	39245282	838	6.39746231755371e-06
chr10	39245284	39248482	3199	2.44218161740505e-05
chr10	39248484	39250360	1877	1.43293994869312e-05
chr10	39250362	39254773	4412	3.36821047076933e-05
chr10	39254794	39284361	29568	0.000225728121486191
chr10	39284363	39285661	1299	9.91683001253254e-06
chr10	39285663	39285854	192	1.4657670226376e-06
chr10	39285856	39289867	4012	3.06284234105316e-05
chr10	39289869	39290415	547	4.17590917386859e-06
chr10	39290417	39300295	9879	7.54182938366504e-05
chr10	39300297	39307179	6883	5.25462209209095e-05
chr10	39307181	39307944	764	5.8325312775788e-06
chr10	39307946	39308364	419	3.19873115877685e-06
chr10	39308366	39311772	3407	2.60097304485746e-05
chr10	39311774	39311797	24	1.832208778297e-07
chr10	39311799	39312243	445	3.39722044309236e-06
chr10	39312245	39315628	3384	2.58341437739878e-05
chr10	39315630	39315771	142	1.08405686049239e-06
chr10	39315773	39316937	1165	8.89384677798338e-06
chr10	39316939	39321100	4162	3.17735538969672e-05
chr10	39321102	39338430	17329	0.000132293107996287
chr10	39338451	39341685	3235	2.4696647490795e-05
chr10	39341706	39409792	68087	0.000519789996199617
chr10	39410238	39479351	69114	0.00052763032293008
chr10	39479372	39497198	17827	0.000136094941211253
chr10	39497297	39570652	73356	0.000560014613086479
chr10	39570673	39585287	14615	0.000111573880395045
chr10	39590436	39593013	2578	1.9680975960207e-05
chr10	39597436	39598812	1377	1.05122978654791e-05
chr10	39598833	39602699	3867	2.95214639403105e-05
chr10	39606090	39607431	1342	1.02451007519774e-05
chr10	39607452	39613189	5738	4.38050582077842e-05
chr10	39615619	39617141	1523	1.16268915389431e-05
chr10	39617256	39622353	5098	3.89191681323255e-05
chr10	39625275	39635037	9763	7.45327262604736e-05
chr10	39635058	39636682	1625	1.24055802697193e-05
chr10	39686683	39901299	214617	0.00163842979738237
chr10	41712901	41838899	125999	0.000961901974402684
chr10	42107301	42279399	172099	0.00131383874390057
chr10	42322501	47780368	5457868	0.041666473584943
chr10	47870369	53140468	5270100	0.0402330145104293
chr10	53140471	58267942	5127472	0.0391441633703004
chr10	58267944	59723047	1455104	0.0111085596755629
chr10	59723049	62561304	2838256	0.0216678231593923
chr10	62561306	62561306	1	7.63420324290419e-09
chr10	62561308	62580396	19089	0.000145729305703798
chr10	62580398	114306065	51725668	0.394884262386985
chr10	114306067	124120673	9814607	0.0749267045872301
chr10	124120675	124120891	217	1.65662210371021e-06
chr10	124120893	124121200	308	2.35133459881449e-06
chr10	124121503	124121818	316	2.41240822475772e-06
chr10	124121820	124122079	260	1.98489284315509e-06
chr10	124122081	124122245	165	1.25964353507919e-06
chr10	124122247	124122267	21	1.60318268100988e-07
chr10	124122269	126946299	2824031	0.021559226618262
chr10	126953401	131592410	4639010	0.0354151451858649
chr10	131592412	131594305	1894	1.44591809420605e-05
chr10	131594307	131594830	524	4.00032249928179e-06
chr10	131594832	131595664	833	6.35929130133919e-06
chr10	131595666	131595827	162	1.23674092535048e-06
chr10	131595829	131596142	314	2.39713981827191e-06
chr10	131596144	131597030	887	6.77153827645601e-06
chr10	131597131	133625799	2028669	0.0154872714585792
chr11	194501	518899	324399	0.00247732672040848
chr11	520701	584399	63699	0.000486447969208597
chr11	586501	964099	377599	0.00288359733630351
chr11	966001	1015699	49699	0.000379534649236222
chr11	1019301	1090999	71699	0.000547541294907098
chr11	1098201	3652799	2554599	0.0195086185920079
chr11	3655601	10506899	6851299	0.0523210801581013
chr11	10511101	28206299	17695199	0.135132319475847
chr11	28236701	50813599	22576899	0.172412230483644
chr11	54383001	54425074	42074	0.000321305073179838
chr11	54525075	61084499	6559425	0.0500921359899858
chr11	61130401	70370399	9239999	0.0705627835451023
chr11	70372401	70955696	583296	0.00445443656332906
chr11	71055697	73509799	2454103	0.0187411642345834
chr11	73511701	77885599	4373899	0.0334020045224182
chr11	77887601	87978202	10090602	0.0770585543099925
chr11	88002897	93417499	5414603	0.0413495130758847
chr11	93427701	94232699	804999	0.00614750826174589
chr11	94240401	96566178	2325778	0.0177611891070509
chr11	96566365	103408699	6842335	0.0522526250866561
chr11	103410601	121174999	17764399	0.135660776743139
chr11	121187001	131679499	10492499	0.0801277073497737
chr11	131681501	135075599	3394099	0.0259195994574943
chr12	77801	371799	293999	0.00225504785358216
chr12	422401	2254899	1832499	0.0140557380693181
chr12	2257001	2519799	262799	0.0020157358388074
chr12	2540501	5928899	3388399	0.0259898907548323
chr12	5933001	6801301	868301	0.00666009172246587
chr12	6801303	6801537	235	1.80251036769447e-06
chr12	6801539	7083650	282112	0.00216387151000435
chr12	7084651	20550499	13465849	0.103286520988546
chr12	20552401	20768399	215999	0.00165676781664527
chr12	20770301	29790399	9020099	0.069186476447364
chr12	29834601	34715399	4880799	0.0374369821282248
chr12	37269101	37333222	64122	0.000491832211903426
chr12	37333243	37334747	1505	1.15437366101284e-05
chr12	37334768	37379851	45084	0.000345805861349522
chr12	37380461	37460032	79572	0.000610337680758233
chr12	37460129	41362699	3902571	0.0299337220772927
chr12	41364601	61471099	20106499	0.154222012363994
chr12	61473001	66473899	5000899	0.0383581799799699
chr12	66475801	101146999	34671199	0.265937002799567
chr12	101155001	113079599	11924599	0.0914647375663794
chr12	113081501	122093259	9011759	0.0691225065049531
chr12	122093261	123443533	1350273	0.0103569407732677
chr12	123443734	123476174	32441	0.000248830803567559
chr12	123476275	124430499	954225	0.00731915087495004
chr12	124440301	124905899	465599	0.00357126393484332
chr12	124941801	130386399	5444599	0.0417614729593147
chr12	130394101	131475299	1081199	0.00829307407251446
chr12	131478601	131575999	97399	0.000747075350225847
chr12	131589701	132222633	632933	0.00485475870023815
chr12	132222635	132223299	665	5.10072082773117e-06
chr12	132243401	132455099	211699	0.0016237857120449
chr12	132465201	133248999	783799	0.00601193967527047
chr13	16000001	16022537	22537	0.000234659486199535
chr13	16022638	16087599	64962	0.000676396571970279
chr13	16165301	16226299	60999	0.000635133070004234
chr13	18171401	18210999	39599	0.000412312241825237
chr13	18216101	18358106	142006	0.0014785932021676
chr13	18408107	57140499	38732393	0.403288966617494
chr13	57172501	86202979	29030479	0.302270811832382
chr13	86252980	100972570	14719591	0.153263152199818
chr13	100972572	100973392	821	8.54840653901664e-06
chr13	100973394	100973394	1	1.04121882326634e-08
chr13	100973396	109423199	8449804	0.087980949777112
chr13	109425201	111703855	2278655	0.0237257847772996
chr13	111753856	111793441	39586	0.000412176883378213
chr13	111843442	113673020	1829579	0.019049920934528
chr13	113723021	114353299	630279	0.00656258358709485
chr14	18670901	18695399	24499	0.000281864039988499
chr14	19724301	23033299	3308999	0.0380704447715377
chr14	23098601	26629299	3530699	0.0406211308267012
chr14	26634901	31793799	5158899	0.0593537741961968
chr14	31798101	32483399	685299	0.00788445017103058
chr14	32486001	34537099	2051099	0.0235981489267468
chr14	34562601	35947199	1384599	0.0159299835872499
chr14	35950001	37350999	1400999	0.0161186676256111
chr14	37356701	44025099	6668399	0.0767207593124317
chr14	44027201	44705099	677899	0.00779931225128222
chr14	44709901	45477099	767199	0.00882671985040761
chr14	45482501	46865299	1382799	0.0159092743635273
chr14	46866501	54235599	7369099	0.0847823999026574
chr14	54240001	57112099	2872099	0.0330438559690978
chr14	57118101	74711699	17593599	0.202416543209013
chr14	74729001	86073999	11344999	0.130525623568532
chr14	86076001	86593299	517299	0.00595158929025717
chr14	86595201	88443699	1848499	0.0212672107455284
chr14	88458101	100525899	12067799	0.138841527405574
chr14	100527801	101267599	739799	0.0085114794448529
chr14	101272201	101674399	402199	0.00462734948444157
chr14	101676401	104288099	2611699	0.030047921603899
chr14	104290201	105214999	924799	0.0106399274385617
chr14	105240901	105568499	327599	0.00376906721238386
chr14	105583901	105616499	32599	0.000375055546740074
chr14	105618601	106326899	708299	0.00814906802970789
chr14	106367701	106883718	516018	0.00593685122604127
chr15	17035001	17049135	14135	0.000182706824286666
chr15	17049335	17058499	9165	0.000118465372804195
chr15	19790101	20005599	215499	0.00278550675111087
chr15	22606301	23125399	519099	0.00670979340505015
chr15	23357401	25757699	2400299	0.0310258937126607
chr15	25759101	27346053	1586953	0.0205127090854048
chr15	27346055	27346058	4	5.17033814748258e-08
chr15	27346061	28304899	958839	0.0123938046474851
chr15	28683401	30066299	1382899	0.0178751386345388
chr15	30627501	30844099	216599	0.00279972518101645
chr15	30859901	32153699	1293799	0.016723445812187
chr15	32626201	54925699	22299499	0.288239875873624
chr15	54932201	56311199	1378999	0.0178247278376008
chr15	56314601	72635199	16320599	0.210957538998665
chr15	72687101	74068099	1380999	0.0178505795283382
chr15	74102001	75254099	1152099	0.0148918535234413
chr15	75299801	77698599	2398799	0.0310065049446076
chr15	77700601	82320999	4620399	0.0597225630157259
chr15	82374601	82421199	46599	0.000602331468336352
chr15	82541701	84270066	1728366	0.0223405916565297
chr15	84320067	84405299	85233	0.00110170857831096
chr15	84524701	101752299	17227599	0.222681280748082
chr15	101764801	101892699	127899	0.00165320269681219
chr16	10001	18436486	18426486	0.233770457927832
chr16	18486487	29430799	10944313	0.138846715630724
chr16	29566901	33214595	3647695	0.0462770454730795
chr16	33264596	33392411	127816	0.00162155740657789
chr16	33442412	34061399	618988	0.00785288677460438
chr16	34121401	34271999	150599	0.00191059745159623
chr16	34633101	34657199	24099	0.000305735682082998
chr16	34672501	34694599	22099	0.000280362373474094
chr16	34772001	34832599	60599	0.000768798564195511
chr16	34922101	34945599	23499	0.000298123689500327
chr16	35072501	36166299	1093799	0.0138766497915557
